certification_number,title
 0013369221,Raikou A 2020 Pokemon Sword And Shield Legendary Heartbeat BGS 9.5
 0013369222,Raikou A 2020 Pokemon Sword And Shield Legendary Heartbeat BGS 9.5
 0013369225,Zamazenta A 2020 Pokemon Sword And Shield Legendary Heartbeat BGS 10.0
 0013369232,Rayquaza A 2020 Pokemon Sword And Shield Legendary Heartbeat BGS 9.5
 0013683638,Flareon 1999 Pokemon Silver Poker Set BGS 9.0
 0013683650,Vaporeon 1999 Pokemon Silver Poker Set BGS 9.5
 0013683651,Vaporeon 1999 Pokemon Silver Poker Set BGS 9.5
 0013683654,Espeon 1999 Pokemon Silver Poker Set BGS 9.0
 0013683663,Dragonite 1999 Pokemon Silver Poker Set BGS 9.5
 0013683671,Mr. Mime 1999 Pokemon Gold Poker Set BGS 9.5
 0013683676,Dragonite 1999 Pokemon Gold Poker Set BGS 9.5
 0013683730,Flareon 1996 Pokemon Red Poker Set BGS 9.5
 0013683735,Dratini 1996 Pokemon Red Poker Set BGS 9.0
 0013683747,Mr. Mime 1996 Pokemon Blue Poker Set BGS 9.0
 0013706892,Meowth 1998 Pokemon 3D Blue Poker BGS 9.5
 0013706894,Vileplume 1998 Pokemon 3D Blue Poker BGS 9.5
 0013706895,Gloom 1998 Pokemon 3D Blue Poker BGS 9.5
 0013706896,Nidorina 1998 Pokemon 3D Blue Poker BGS 10.0
 0013706897,Nidoran Female 1998 Pokemon 3D Blue Poker BGS 9.5
 0013706899,Wartortle 1998 Pokemon 3D Blue Poker BGS 9.5
 0013706900,Squirtle 1998 Pokemon 3D Blue Poker BGS 9.5
 0013706901,Moltres 1998 Pokemon 3D Blue Poker BGS 9.0
 0013706903,Articuno 1998 Pokemon 3D Blue Poker BGS 9.5
 0013706906,Nidoqueen 1998 Pokemon 3D Blue Poker BGS 10.0
 0013706908,Rayquaza 2016 Pokemon Poker Set BGS 9.5
 0013743568,Nidoran Male 1998 Pokemon 3D Red Poker Set BGS 9.5
 0013743582,Nidorino 1998 Pokemon 3D Red Poker Set BGS 9.5
 0013743583,Nidoking 1998 Pokemon 3D Red Poker Set BGS 10.0
 0013766482,Ho Oh 1999 Pokemon Gold Poker Set BGS 9.5
 0013795995,Rayquaza GX P 2019 Pokemon Hidden Fates Ultra Premium Collection BGS 9.0
 0013795996,Rayquaza GX P 2019 Pokemon Hidden Fates Ultra Premium Collection BGS 9.0
 0013795997,Rayquaza GX P 2019 Pokemon Hidden Fates Ultra Premium Collection BGS 9.0
 0013795999,Rayquaza GX P 2019 Pokemon Hidden Fates Ultra Premium Collection BGS 9.5
 0014184010,Charizard Holo R 1999 Pokemon Base Shadowless BGS 8.5
 0014184011,Mewtwo Holo R/Thin Stamp 1999 Pokemon Base 1st Edition BGS 8.0
