certification_number,player,title1,title2,title3
01502490,Charizard Holo,1999 Pokemon Game 1st Edition PSA 9,1999 Pokemon Game PSA 9,1999 1st Edition PSA 9
24345128,Charizard Holo,1999 Pokemon Game 1st Edition PSA 7,1999 Pokemon Game PSA 7,1999 1st Edition PSA 7
26110919,Pikachu M Lv.x Holo,2009 Pokemon Japanese Promo Advent OF Arceus PSA 10,2009 Pokemon Japanese Promo PSA 10,2009 Advent OF Arceus PSA 10
41438169,Charizard Rev.foil,2002 Pokemon Expedition  PSA 8,2002 Pokemon Expedition PSA 8,2002  PSA 8
42631437,Psyduck,2018 Pokemon Japanese SM Promo Munch A Retrospective PSA 9,2018 Pokemon Japanese SM Promo PSA 9,2018 Munch A Retrospective PSA 9
43188550,Charmeleon Rev.foil,2002 Pokemon Legendary Collection Legendary Collection PSA 10,2002 Pokemon Legendary Collection PSA 10,2002 Legendary Collection PSA 10
43722377,Lapras EX Holo,2003 Pokemon EX Ruby & Sapphire Ruby & Sapphire PSA 7,2003 Pokemon EX Ruby & Sapphire PSA 7,2003 Ruby & Sapphire PSA 7
47455986,Hypno Holo,1999 Pokemon Fossil 1st Edition PSA 9,1999 Pokemon Fossil PSA 9,1999 1st Edition PSA 9
48039776,FA/Pikachu,2019 Pokemon Japanese SM Promo Lmtd Coll Master Btl Set PSA 10,2019 Pokemon Japanese SM Promo PSA 10,2019 Lmtd Coll Master Btl Set PSA 10
48518610,Victreebel Holo,1997 Pokemon Japanese Jungle  PSA 10,1997 Pokemon Japanese Jungle PSA 10,1997  PSA 10
49180613,Feraligatr Holo,2000 Pokemon Japanese Neo Premium File PSA 9,2000 Pokemon Japanese Neo PSA 9,2000 Premium File PSA 9
51348155,Giovanni's Nidoqueen,2000 Pokemon Gym Challenge 1st Edition PSA 10,2000 Pokemon Gym Challenge PSA 10,2000 1st Edition PSA 10
52986750,Mew Holo,2000 Pokemon Promo Black Star Promo Pokemon League PSA 8,2000 Pokemon Promo Black Star PSA 8,2000 Promo Pokemon League PSA 8
52986755,Flareon Holo,1999 Pokemon Jungle No Symbol PSA 8,1999 Pokemon Jungle PSA 8,1999 No Symbol PSA 8
52986756,Nidoqueen Holo,1999 Pokemon Jungle  PSA 8,1999 Pokemon Jungle PSA 8,1999  PSA 8
52986758,Nidoking Holo,1999 Pokemon Game  PSA 8,1999 Pokemon Game PSA 8,1999  PSA 8
52986759,Nidoking Holo,1999 Pokemon Game  PSA 8,1999 Pokemon Game PSA 8,1999  PSA 8
52986762,Koga's Ditto,2000 Pokemon Gym Challenge Holo PSA 8,2000 Pokemon Gym Challenge PSA 8,2000 Holo PSA 8
52986773,Moltres Holo,1999 Pokemon Fossil  PSA 8,1999 Pokemon Fossil PSA 8,1999  PSA 8
52986774,Moltres Holo,1999 Pokemon Fossil  PSA 8,1999 Pokemon Fossil PSA 8,1999  PSA 8
52986787,Lapras Holo,1999 Pokemon Fossil  PSA 8,1999 Pokemon Fossil PSA 8,1999  PSA 8
52986789,Pinsir Holo,1999 Pokemon Jungle No Symbol PSA 8,1999 Pokemon Jungle PSA 8,1999 No Symbol PSA 8
52986790,Scyther Holo,2000 Pokemon Game Base II Base II PSA 9,2000 Pokemon Game Base II PSA 9,2000 Base II PSA 9
52986798,Charizard V,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box PSA 10,2020 Pokemon Swsh Black Star Promo PSA 10,2020 Chmpn Path Elite Trnr Box PSA 10
52986799,FA/Gardevoir V,2020 Pokemon Sword & Shield Champions Path Champions Path PSA 10,2020 Pokemon Sword & Shield Champions Path PSA 10,2020 Champions Path PSA 10
52986801,FA/Rillaboom Vmax,2020 Pokemon Sword & Shield Rebel Clash Rebel Clash Secret PSA 10,2020 Pokemon Sword & Shield Rebel Clash PSA 10,2020 Rebel Clash Secret PSA 10
52986802,FA/Toxtricity Vmax,2020 Pokemon Sword & Shield Rebel Clash Rebel Clash Secret PSA 10,2020 Pokemon Sword & Shield Rebel Clash PSA 10,2020 Rebel Clash Secret PSA 10
52986803,FA/Malamar Vmax,2020 Pokemon Sword & Shield Rebel Clash Rebel Clash Secret PSA 10,2020 Pokemon Sword & Shield Rebel Clash PSA 10,2020 Rebel Clash Secret PSA 10
52986804,FA/Centiskorch Vmax,2020 Pokemon Sword & Shield Darkness Ablaze Darkness Ablaze Secret PSA 10,2020 Pokemon Sword & Shield Darkness Ablaze PSA 10,2020 Darkness Ablaze Secret PSA 10
52986805,FA/Eternatus Vmax,2020 Pokemon Sword & Shield Darkness Ablaze Darkness Ablaze Secret PSA 10,2020 Pokemon Sword & Shield Darkness Ablaze PSA 10,2020 Darkness Ablaze Secret PSA 10
52986808,FA/Pkmn.brdr's.nrtrg.,2020 Pokemon Sword & Shield Darkness Ablaze Darkness Ablaze Secret PSA 10,2020 Pokemon Sword & Shield Darkness Ablaze PSA 10,2020 Darkness Ablaze Secret PSA 10
52986809,FA/Oleana,2020 Pokemon Sword & Shield Rebel Clash Rebel Clash Secret PSA 10,2020 Pokemon Sword & Shield Rebel Clash PSA 10,2020 Rebel Clash Secret PSA 10
52986810,FA/Vileplume GX,2019 Pokemon Sun & Moon Cosmic Eclipse Cosmic Eclipse Secret PSA 10,2019 Pokemon Sun & Moon Cosmic Eclipse PSA 10,2019 Cosmic Eclipse Secret PSA 10
52986811,FA/Espeon GX,2017 Pokemon Sun & Moon Secret PSA 9,2017 Pokemon Sun & Moon PSA 9,2017 Secret PSA 9
52986812,Alolan Ninetales GX,2019 Pokemon Sun & Moon Hidden Fates Hidden Fates FA PSA 10,2019 Pokemon Sun & Moon Hidden Fates PSA 10,2019 Hidden Fates FA PSA 10
52986813,FA/Altaria GX,2019 Pokemon Sun & Moon Hidden Fates Hidden Fates PSA 10,2019 Pokemon Sun & Moon Hidden Fates PSA 10,2019 Hidden Fates PSA 10
52986814,FA/Darkrai GX,2019 Pokemon Sun & Moon Hidden Fates Hidden Fates PSA 10,2019 Pokemon Sun & Moon Hidden Fates PSA 10,2019 Hidden Fates PSA 10
52986816,FA/Lucario GX,2019 Pokemon Sun & Moon Hidden Fates Hidden Fates PSA 10,2019 Pokemon Sun & Moon Hidden Fates PSA 10,2019 Hidden Fates PSA 10
52986817,FA/Leafeon GX,2019 Pokemon Sun & Moon Hidden Fates Hidden Fates PSA 9,2019 Pokemon Sun & Moon Hidden Fates PSA 9,2019 Hidden Fates PSA 9
52986818,FA/Scizor GX,2019 Pokemon Sun & Moon Hidden Fates Hidden Fates PSA 10,2019 Pokemon Sun & Moon Hidden Fates PSA 10,2019 Hidden Fates PSA 10
52986819,FA/Noivern GX,2019 Pokemon Sun & Moon Hidden Fates Hidden Fates PSA 10,2019 Pokemon Sun & Moon Hidden Fates PSA 10,2019 Hidden Fates PSA 10
52986820,FA/Umbreon GX,2017 Pokemon Sun & Moon  PSA 10,2017 Pokemon Sun & Moon PSA 10,2017  PSA 10
52986821,FA/Sylveon GX,2017 Pokemon Sun & Moon Guardians Rising Guardians Rising PSA 10,2017 Pokemon Sun & Moon Guardians Rising PSA 10,2017 Guardians Rising PSA 10
52986822,FA/Eevee GX,2019 Pokemon SM Black Star Promo Prm Pikachu Eevee Spc Cl PSA 10,2019 Pokemon SM Black Star Promo PSA 10,2019 Prm Pikachu Eevee Spc Cl PSA 10
52986824,FA/Rillaboom,2020 Pokemon Sword & Shield Darkness Ablaze Darkness Ablaze Secret PSA 10,2020 Pokemon Sword & Shield Darkness Ablaze PSA 10,2020 Darkness Ablaze Secret PSA 10
52986825,FA/Coalossal,2020 Pokemon Sword & Shield Darkness Ablaze Darkness Ablaze Secret PSA 10,2020 Pokemon Sword & Shield Darkness Ablaze PSA 10,2020 Darkness Ablaze Secret PSA 10
52986831,Raichu/Aln.raichu GX,2019 Pokemon Sun & Moon Unified Minds Unified Minds FA PSA 9,2019 Pokemon Sun & Moon Unified Minds PSA 9,2019 Unified Minds FA PSA 9
52986833,FA/M Blastoise EX,2016 Pokemon XY Evolutions Evolutions PSA 10,2016 Pokemon XY Evolutions PSA 10,2016 Evolutions PSA 10
52987377,Kangaskhan Holo,1999 Pokemon Jungle No Symbol PSA 9,1999 Pokemon Jungle PSA 9,1999 No Symbol PSA 9
52987379,Ditto Holo,1997 Pokemon Japanese Fossil  PSA 9,1997 Pokemon Japanese Fossil PSA 9,1997  PSA 9
52987380,Dragonite Holo,1999 Pokemon Fossil  PSA 8,1999 Pokemon Fossil PSA 8,1999  PSA 8
52987384,Hitmonchan Holo,1996 Pokemon Japanese Basic  PSA 9,1996 Pokemon Japanese Basic PSA 9,1996  PSA 9
52987385,Mewtwo Holo,1999 Pokemon Game  PSA 8,1999 Pokemon Game PSA 8,1999  PSA 8
52987386,Machamp Holo,2000 Pokemon 2 Player CD Rom Starter Set 1st Ed Cosmos Holofoil PSA 8,2000 Pokemon 2 Player CD Rom Starter Set PSA 8,2000 1st Ed Cosmos Holofoil PSA 8
52987387,Machamp Holo,1999 Pokemon Game 1st Edition PSA 9,1999 Pokemon Game PSA 9,1999 1st Edition PSA 9
52987388,Machamp Holo,1996 Pokemon Japanese Basic  PSA 9,1996 Pokemon Japanese Basic PSA 9,1996  PSA 9
52987389,Pikachu,1999 Pokemon Jungle 1st Ed W Stp Dlst Promo PSA 8,1999 Pokemon Jungle PSA 8,1999 1st Ed W Stp Dlst Promo PSA 8
52987390,Mr. Mime Holo,1999 Pokemon Jungle No Symbol PSA 8,1999 Pokemon Jungle PSA 8,1999 No Symbol PSA 8
52987391,Pidgeot Holo,1999 Pokemon Jungle No Symbol PSA 9,1999 Pokemon Jungle PSA 9,1999 No Symbol PSA 9
52987392,Poliwrath Holo,1999 Pokemon Game  PSA 9,1999 Pokemon Game PSA 9,1999  PSA 9
52987393,Poliwrath Holo,1999 Pokemon Game  PSA 9,1999 Pokemon Game PSA 9,1999  PSA 9
52987394,Alakazam Holo,1999 Pokemon Game  PSA 8,1999 Pokemon Game PSA 8,1999  PSA 8
52987395,Alakazam   Holo,2000 Pokemon Game Base II Base II PSA 8,2000 Pokemon Game Base II PSA 8,2000 Base II PSA 8
52987400,Gyarados Holo,1999 Pokemon Game  PSA 9,1999 Pokemon Game PSA 9,1999  PSA 9
52987402,Gyarados Holo,2000 Pokemon Game Base II Base II PSA 8,2000 Pokemon Game Base II PSA 8,2000 Base II PSA 8
52987404,Misty's Seadra,2000 Pokemon Gym Heroes Holo 1st Edition PSA 9,2000 Pokemon Gym Heroes PSA 9,2000 Holo 1st Edition PSA 9
52987405,Vileplume Holo,1997 Pokemon Japanese Jungle  PSA 9,1997 Pokemon Japanese Jungle PSA 9,1997  PSA 9
52987408,Erika's Vileplume,2000 Pokemon Gym Heroes Holo 1st Edition PSA 8,2000 Pokemon Gym Heroes PSA 8,2000 Holo 1st Edition PSA 8
52987411,Sabrina's Gengar,2000 Pokemon Gym Heroes Holo 1st Edition PSA 9,2000 Pokemon Gym Heroes PSA 9,2000 Holo 1st Edition PSA 9
52987413,Brock's Rhydon,2000 Pokemon Gym Heroes Holo 1st Edition PSA 9,2000 Pokemon Gym Heroes PSA 9,2000 Holo 1st Edition PSA 9
52987414,Ditto Holo,1999 Pokemon Fossil 1st Edition PSA 8,1999 Pokemon Fossil PSA 8,1999 1st Edition PSA 8
52987415,Charizard Holo,2000 Pokemon Game Base II Base II PSA 6,2000 Pokemon Game Base II PSA 6,2000 Base II PSA 6
52987417,FA/Charizard Vmax,2020 Pokemon Sword & Shield Darkness Ablaze Darkness Ablaze PSA 9,2020 Pokemon Sword & Shield Darkness Ablaze PSA 9,2020 Darkness Ablaze PSA 9
52987418,FA/Charizard Vmax,2020 Pokemon Sword & Shield Darkness Ablaze Darkness Ablaze PSA 10,2020 Pokemon Sword & Shield Darkness Ablaze PSA 10,2020 Darkness Ablaze PSA 10
