certification_number,title,attributes.trait_type,attributes.value
 0013369221,2020 Pokemon Sword And Shield Legendary Heartbeat Raikou A BGS 9.5 Gem Mint,Set Name,2020 Pokemon Sword and Shield Legendary Heartbeat
,,Player Name,Raikou A
,,Date Graded,"Friday, October 22, 2021"
,,Centering Grade,9.5
,,Corner Grade,9.5
,,Edges Grade,9.5
,,Surfaces Grade,10.0
,,Autograph Grade,0.0
,,Final Grade,9.5
,,Total Graded Cards In POP Report,108
,,Cards Graded Above This Card,48
,,Edition,1
 0013369222,2020 Pokemon Sword And Shield Legendary Heartbeat Raikou A BGS 9.5 Gem Mint,Set Name,2020 Pokemon Sword and Shield Legendary Heartbeat
,,Player Name,Raikou A
,,Date Graded,"Friday, October 22, 2021"
,,Centering Grade,9.0
,,Corner Grade,9.5
,,Edges Grade,9.5
,,Surfaces Grade,9.5
,,Autograph Grade,0.0
,,Final Grade,9.5
,,Total Graded Cards In POP Report,108
,,Cards Graded Above This Card,48
,,Edition,1
 0013369225,2020 Pokemon Sword And Shield Legendary Heartbeat Zamazenta A BGS 10.0 Pristine,Set Name,2020 Pokemon Sword and Shield Legendary Heartbeat
,,Player Name,Zamazenta A
,,Date Graded,"Friday, October 22, 2021"
,,Centering Grade,9.5
,,Corner Grade,10.0
,,Edges Grade,10.0
,,Surfaces Grade,10.0
,,Autograph Grade,0.0
,,Final Grade,10.0
,,Total Graded Cards In POP Report,94
,,Cards Graded Above This Card,0
,,Edition,1
 0013369232,2020 Pokemon Sword And Shield Legendary Heartbeat Rayquaza A BGS 9.5 Gem Mint,Set Name,2020 Pokemon Sword and Shield Legendary Heartbeat
,,Player Name,Rayquaza A
,,Date Graded,"Friday, October 22, 2021"
,,Centering Grade,9.5
,,Corner Grade,9.5
,,Edges Grade,9.5
,,Surfaces Grade,10.0
,,Autograph Grade,0.0
,,Final Grade,9.5
,,Total Graded Cards In POP Report,162
,,Cards Graded Above This Card,67
,,Edition,1
 0013683638,1999 Pokemon Silver Poker Set Flareon BGS 9.0 Mint,Set Name,1999 Pokemon Silver Poker Set
,,Player Name,Flareon
,,Date Graded,"Tuesday, February 08, 2022"
,,Centering Grade,10.0
,,Corner Grade,9.5
,,Edges Grade,9.5
,,Surfaces Grade,8.5
,,Autograph Grade,0.0
,,Final Grade,9.0
,,Total Graded Cards In POP Report,0
,,Cards Graded Above This Card,0
,,Edition,1
 0013683650,1999 Pokemon Silver Poker Set Vaporeon BGS 9.5 Gem Mint,Set Name,1999 Pokemon Silver Poker Set
,,Player Name,Vaporeon
,,Date Graded,"Tuesday, February 08, 2022"
,,Centering Grade,9.0
,,Corner Grade,10.0
,,Edges Grade,9.5
,,Surfaces Grade,9.5
,,Autograph Grade,0.0
,,Final Grade,9.5
,,Total Graded Cards In POP Report,0
,,Cards Graded Above This Card,0
,,Edition,1
 0013683651,1999 Pokemon Silver Poker Set Vaporeon BGS 9.5 Gem Mint,Set Name,1999 Pokemon Silver Poker Set
,,Player Name,Vaporeon
,,Date Graded,"Tuesday, February 08, 2022"
,,Centering Grade,9.0
,,Corner Grade,9.5
