certification_number,title,attributes.trait_type,attributes.value
01502490,1999 Pokemon Game 1st Edition 4 Charizard Holo PSA 9 Mint,Certification Number,01502490
,,Reverse Cert Number/Barcode,No
,,Year,1999
,,Brand,POKEMON GAME
,,Sport,TCG Cards
,,Card Number,4
,,Player,CHARIZARD-HOLO
,,Variety/Pedigree,1ST EDITION
,,Grade,MINT 9
,,PSA Price Guide Value,"$20,000"
,,Edition,1
24345128,1999 Pokemon Game 1st Edition 4 Charizard Holo PSA 7 NM,Certification Number,24345128
,,Label Type," 
Hologram
*"
,,Reverse Cert Number/Barcode,No
,,Year,1999
,,Brand,POKEMON GAME
,,Sport,TCG Cards
,,Card Number,4
,,Player,CHARIZARD-HOLO
,,Variety/Pedigree,1ST EDITION
,,Grade,NM 7
,,PSA Price Guide Value,"$7,500"
,,Edition,1
26110919,2009 Pokemon Japanese Promo Advent Of Arceus 043 Pikachu M Lv.x Holo PSA 10 Gem Mint,Certification Number,26110919
,,Label Type," 
Hologram
*"
,,Reverse Cert Number/Barcode,Yes
,,Year,2009
,,Brand,POKEMON JAPANESE PROMO
,,Sport,TCG Cards
,,Card Number,043
,,Player,PIKACHU M LV.X-HOLO
,,Variety/Pedigree,ADVENT OF ARCEUS
,,Grade,GEM MT 10
,,Date,Price
,,4/28/2021,$900.00
,,Edition,1
41438169,2002 Pokemon Expedition 39 Charizard Rev.Foil PSA 8 NM-MT,Certification Number,41438169
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2002
,,Brand,POKEMON EXPEDITION
,,Sport,TCG Cards
,,Card Number,39
,,Player,CHARIZARD-REV.FOIL
,,Variety/Pedigree,
,,Grade,NM-MT 8
,,PSA Price Guide Value,$400
,,Edition,1
42631437,2018 Pokemon Japanese SM Promo Munch A Retrospective 286 Psyduck PSA 9 Mint,Certification Number,42631437
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2018
,,Brand,POKEMON JAPANESE SM PROMO
,,Sport,TCG Cards
,,Card Number,286
,,Player,PSYDUCK
,,Variety/Pedigree,MUNCH: A RETROSPECTIVE
,,Grade,MINT 9
,,PSA Price Guide Value,$175
,,Edition,1
43188550,2002 Pokemon Legendary Collection 37 Charmeleon Rev.Foil PSA 10 Gem Mint,Certification Number,43188550
